S.No,Sentence,Annotator 1,Annotator 2,IAA,label
1,with such eloquent and compelling arguments as this i'm surprised it hasn't happened already.,Sarcastic,Sarcastic,Agree,Sarcastic
2,"fantasy,fairy tale, wild imagination, adsurd , silly , ridiculous,fabricated .unsupported by one single observation or experiment , unsubstantiated. i do agree we don't speak the same language. no one will explain to me how one steals public information, i am confused. how is work shady? how would you define shady as opposed to rather shady when it refers to work? i thought bookmaking etc. was shady but i am old fashioned i guess. please educate me. is this a meaningfull reprimand coming from someone who believes one can observe a mind? you still have refused to explain that and i was so anxious to hear it. please go on.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
3,"'if carrying guns became legal, then police could no longer arrest people for carrying guns illegally!' emoticonxrolleyes really? i suppose you'd be happier if only the 'bad guys' were armed, because that would make them easier to identify.",Sarcastic,Sarcastic,Agree,Sarcastic
4,"It was a troll. Now that we've activated email response, it could take another look or expand some mail list.",Sarcastic,Non-Sarcastic,Disagree,Unknown
5,"Poor little poopie. 
If your gay sex agenda wasn't of the devil himself you might be better received in the world.",Sarcastic,Sarcastic,Agree,Sarcastic
6,":p I wish! If I did, I'd be as wealthy as the Church, who does. emoticonXHoho",Sarcastic,Sarcastic,Agree,Sarcastic
7,"Logical truths do not come from ""somewhere"", your question makes as much sense as ""What time is a moose?"".You do not appear to have read my post at all, variously repeating what I have said and addressing things I did not say.",Non-Sarcastic,Sarcastic,Disagree,Unknown
8,This is more of a creationist circlejerk than an actual discussion.,Sarcastic,Non-Sarcastic,Disagree,Unknown
9,"Bang your head long enough, it might knock some sense into it. How about Palin's self imp...appointed defenders answer the valid questions?
Isly proved nothing.",Sarcastic,Sarcastic,Agree,Sarcastic
10,The first half of the above post you're being purposefully thick. The last part is just dumb and not at all based in reality!,Sarcastic,Sarcastic,Agree,Sarcastic
11,"i've noticed a conspiracy or two, people saying that i'm too young to understand what-not. i still prefer my genitalia. i love my genitalia. i would give my lifeblood for my darling sperm - all so that they might have the honor of procuring for me an infant.",Sarcastic,Non-Sarcastic,Disagree,Unknown
12,No. We know that evolution happens. What would be a problem would be to find the processes that made evolution happen as such incredible rates. There isn't any evidence that it can happen that fast.,Non-Sarcastic,Sarcastic,Disagree,Unknown
13,"Quote Mining. You got to love it. Always fascinating when stuff is dishonestly taken out of context. Normally, we see this from creationists, but you are by no means the first prolifer who has engaged in this practice. But lets look at it",Sarcastic,Sarcastic,Agree,Sarcastic
14,i'm surprised that some of the more frothing liberals here have not yet suggested that we now have a way of tracking and potentially treating the 'abnormal' brains of conservatives.,Sarcastic,Sarcastic,Agree,Sarcastic
15,"Well, actually society has said that 18 is the dividing line. It can then also say, that under certain circumstances, for a particularly bad person, in some cases it will be considered if the person is 16 or 17. That's why we have all the judges and lawyers, etc...",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
16,Why do you find it necessary to fit observations to Genesis?   or why it makes perfect sense to design creatures that resemble humans but have them evolve from things that look like apes? and so on?   Are you saying that mankind is the original goal of evolution?,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
17,"it's actually not a fundie site, it is a catholic site, tradition in action. in the 'about us': not exactly where i would first think of looking for information about human sexuality.  but that's me. hey, arch, have you ever considered getting scientific information from a scientific source??? just a thought.",Sarcastic,Sarcastic,Agree,Sarcastic
18,"i'm not in the least surprised.. i stated that it was required by law.. i never said anything about when it became a requirement. as of now, in the year 2010 applying for a ss number is required.. would you say that is an invasion of privacy?..  and for your information clinton wasn't the first or last president to rape the social security program.. politicians have been using it as a personal bank for decades.",Non-Sarcastic,Sarcastic,Disagree,Unknown
19,And they can be. Increases in complexity are readily achieved via incremental change.,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
20,"I argue against them with regards to whatever argument they muster. Do we have any of those on this message board? Because from what I can see, it's primarily the ""religious"" argument counter...",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
21,"Oh, I don't think there's anything wrong with it, I'm completely for it.",Sarcastic,Non-Sarcastic,Disagree,Unknown
22,"[quote=gansao;461336] darling, you're the b****, i was addressing. a bigamist? doing drugs so early in the day? try to make sense, even if it's a first attempt.",Sarcastic,Sarcastic,Agree,Sarcastic
23,"Because self-defence, unlike most other 'reasons', automatically allows all citizens firearm access, and in most cases allows firearm acess without mandatory training/evaluation. When this occurs, you are much more likely to get misuse of firearms.If you read around you'll see that I consider all rights as needing justification. This comes both from my stance as a relativist and as a UK citizen, where there is no formalised Constitution. Ask yourself this - if a right cannot be justified, why should it be treated as a 'right'?",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
24,"Never thought of that. If that ""person"" has rights, do they have responsibilities? Could a fetus be charged for causing toxemia? How about suing the little tyke for giving mom varicose veins and stretch marks?",Sarcastic,Sarcastic,Agree,Sarcastic
25,So what are some examples of restrictive gun laws in South Africa? The people in South Africa think their gun laws are not strict enough. In one of your previous posts you seem determined to use South Africa as evidence that outlawing guns doesn't work. But gun ownership is still legal there.,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
26,"And of course the Bible or rather the HUMAN author would say that....
",Sarcastic,Sarcastic,Agree,Sarcastic
27,"..... yeah i guess so, if you're willing to prescribe them the property of an independent 'human being'.",Sarcastic,Sarcastic,Agree,Sarcastic
28,Why would they be useless? They aren't useless on birds? And how is this qustion different in any meaningful way from the above? Aren't wings forelimbs with feathers? It seems that soaring or gliding or even faster running would be extremely useful.,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
29,I didn't think you had either the intellectual or logical ability to respond. :),Sarcastic,Sarcastic,Agree,Sarcastic
30,"i love how you reply without putting any thought into your post, it is awesome. the answer to my question was no. your computer screen is not absorbing light from the sun and reflecting the color yellow back to you. thanks for playing, you lose. we know you don't actually believe in science, so you can stop trying to quote it.",Sarcastic,Sarcastic,Agree,Sarcastic
31,"Well, my daughter cut her chin (in the U.S.), which required some stitches. My wife arrived to the emergency room with my daughter around 6:30 PM. We did not come back home until after midnight.",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
32,"which one is this brady? the discredited kellerman study by the discredited kellerman? or the opinion piece of the rabidly anti-gun brady campaign? cite your sources. and answer the damn question already. is self-defense with a firearm an immoral act? it's not rocket science, there's only two answers; yes or no.",Sarcastic,Sarcastic,Agree,Sarcastic
33,"You must be thinking of physics... last I looked, biologists weren't trying to explain the the creation of the universe. However, we have an excellent handle on the evolution of species, and some pretty reasonable ideas about the origin of life, which is more than your bible ever came up with. I mean... some invisible, bearded guy-in-the-sky zapped it all into existence? Fairytales.",Sarcastic,Non-Sarcastic,Disagree,Unknown
34,query: why do they call the followers of gush limpbutt the addict 'dittoheads'? answer: they have no ideas of their own. think gush & cindy have the same supplier?  now there's a capitalist we all can admire!!,Sarcastic,Sarcastic,Agree,Sarcastic
35,Nobody should be forced to even have a sonagram. I think that you'll find reasonable pro-life and pro-abortion people believe that much.,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
36,i am surprised that some of the more conservative christians are not weighing in on source of some of the christian terminology and concepts.,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
37," but it is the best theory besides evolution. If evolution isn't true  somebody please come up with a new theory to compete with creation. Right here  please  I would like to know what is option #2 for Atheism."" Just out of interest, which version of creation are you talking about? ",Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
38,I think that case was in Georgia (a different state) and so far as I know homosexuality was not involved. However if you want to worry about a legal case you need to look at Dover Pa. Not the sticker case in Cobb County.,Non-Sarcastic,Non-Sarcastic,Agree,Non-Sarcastic
