S.No,Sentence,Annotator 1,Annotator 2,IAA,Char_Length,Word_Count,Is_English,label
1,with such eloquent and compelling arguments as this i'm surprised it hasn't happened already.,Sarcastic,Sarcastic,Agree,93,14,True,Sarcastic
2,"fantasy,fairy tale, wild imagination, adsurd , silly , ridiculous,fabricated .unsupported by one single observation or experiment , unsubstantiated. i do agree we don't speak the same language. no one will explain to me how one steals public information, i am confused. how is work shady? how would you define shady as opposed to rather shady when it refers to work? i thought bookmaking etc. was shady but i am old fashioned i guess. please educate me. is this a meaningfull reprimand coming from someone who believes one can observe a mind? you still have refused to explain that and i was so anxious to hear it. please go on.",Non-Sarcastic,Non-Sarcastic,Agree,628,109,True,Non-Sarcastic
3,"'if carrying guns became legal, then police could no longer arrest people for carrying guns illegally!' emoticonxrolleyes really? i suppose you'd be happier if only the 'bad guys' were armed, because that would make them easier to identify.",Sarcastic,Sarcastic,Agree,240,38,True,Sarcastic
5,"Poor little poopie. 
If your gay sex agenda wasn't of the devil himself you might be better received in the world.",Sarcastic,Sarcastic,Agree,115,21,True,Sarcastic
6,":p I wish! If I did, I'd be as wealthy as the Church, who does. emoticonXHoho",Sarcastic,Sarcastic,Agree,77,16,True,Sarcastic
9,"Bang your head long enough, it might knock some sense into it. How about Palin's self imp...appointed defenders answer the valid questions?
Isly proved nothing.",Sarcastic,Sarcastic,Agree,161,25,True,Sarcastic
10,The first half of the above post you're being purposefully thick. The last part is just dumb and not at all based in reality!,Sarcastic,Sarcastic,Agree,125,24,True,Sarcastic
13,"Quote Mining. You got to love it. Always fascinating when stuff is dishonestly taken out of context. Normally, we see this from creationists, but you are by no means the first prolifer who has engaged in this practice. But lets look at it",Sarcastic,Sarcastic,Agree,238,43,True,Sarcastic
14,i'm surprised that some of the more frothing liberals here have not yet suggested that we now have a way of tracking and potentially treating the 'abnormal' brains of conservatives.,Sarcastic,Sarcastic,Agree,181,30,True,Sarcastic
15,"Well, actually society has said that 18 is the dividing line. It can then also say, that under certain circumstances, for a particularly bad person, in some cases it will be considered if the person is 16 or 17. That's why we have all the judges and lawyers, etc...",Non-Sarcastic,Non-Sarcastic,Agree,265,49,True,Non-Sarcastic
16,Why do you find it necessary to fit observations to Genesis?   or why it makes perfect sense to design creatures that resemble humans but have them evolve from things that look like apes? and so on?   Are you saying that mankind is the original goal of evolution?,Non-Sarcastic,Non-Sarcastic,Agree,263,47,True,Non-Sarcastic
17,"it's actually not a fundie site, it is a catholic site, tradition in action. in the 'about us': not exactly where i would first think of looking for information about human sexuality.  but that's me. hey, arch, have you ever considered getting scientific information from a scientific source??? just a thought.",Sarcastic,Sarcastic,Agree,310,51,True,Sarcastic
19,And they can be. Increases in complexity are readily achieved via incremental change.,Non-Sarcastic,Non-Sarcastic,Agree,85,13,True,Non-Sarcastic
20,"I argue against them with regards to whatever argument they muster. Do we have any of those on this message board? Because from what I can see, it's primarily the ""religious"" argument counter...",Non-Sarcastic,Non-Sarcastic,Agree,194,33,True,Non-Sarcastic
22,"[quote=gansao;461336] darling, you're the b****, i was addressing. a bigamist? doing drugs so early in the day? try to make sense, even if it's a first attempt.",Sarcastic,Sarcastic,Agree,160,27,True,Sarcastic
23,"Because self-defence, unlike most other 'reasons', automatically allows all citizens firearm access, and in most cases allows firearm acess without mandatory training/evaluation. When this occurs, you are much more likely to get misuse of firearms.If you read around you'll see that I consider all rights as needing justification. This comes both from my stance as a relativist and as a UK citizen, where there is no formalised Constitution. Ask yourself this - if a right cannot be justified, why should it be treated as a 'right'?",Non-Sarcastic,Non-Sarcastic,Agree,532,86,True,Non-Sarcastic
24,"Never thought of that. If that ""person"" has rights, do they have responsibilities? Could a fetus be charged for causing toxemia? How about suing the little tyke for giving mom varicose veins and stretch marks?",Sarcastic,Sarcastic,Agree,209,35,True,Sarcastic
25,So what are some examples of restrictive gun laws in South Africa? The people in South Africa think their gun laws are not strict enough. In one of your previous posts you seem determined to use South Africa as evidence that outlawing guns doesn't work. But gun ownership is still legal there.,Non-Sarcastic,Non-Sarcastic,Agree,293,52,True,Non-Sarcastic
26,"And of course the Bible or rather the HUMAN author would say that....
",Sarcastic,Sarcastic,Agree,71,13,True,Sarcastic
27,"..... yeah i guess so, if you're willing to prescribe them the property of an independent 'human being'.",Sarcastic,Sarcastic,Agree,104,18,True,Sarcastic
29,I didn't think you had either the intellectual or logical ability to respond. :),Sarcastic,Sarcastic,Agree,80,14,True,Sarcastic
30,"i love how you reply without putting any thought into your post, it is awesome. the answer to my question was no. your computer screen is not absorbing light from the sun and reflecting the color yellow back to you. thanks for playing, you lose. we know you don't actually believe in science, so you can stop trying to quote it.",Sarcastic,Sarcastic,Agree,328,61,True,Sarcastic
31,"Well, my daughter cut her chin (in the U.S.), which required some stitches. My wife arrived to the emergency room with my daughter around 6:30 PM. We did not come back home until after midnight.",Non-Sarcastic,Non-Sarcastic,Agree,194,35,True,Non-Sarcastic
32,"which one is this brady? the discredited kellerman study by the discredited kellerman? or the opinion piece of the rabidly anti-gun brady campaign? cite your sources. and answer the damn question already. is self-defense with a firearm an immoral act? it's not rocket science, there's only two answers; yes or no.",Sarcastic,Sarcastic,Agree,313,51,True,Sarcastic
34,query: why do they call the followers of gush limpbutt the addict 'dittoheads'? answer: they have no ideas of their own. think gush & cindy have the same supplier?  now there's a capitalist we all can admire!!,Sarcastic,Sarcastic,Agree,209,37,True,Sarcastic
35,Nobody should be forced to even have a sonagram. I think that you'll find reasonable pro-life and pro-abortion people believe that much.,Non-Sarcastic,Non-Sarcastic,Agree,136,22,True,Non-Sarcastic
36,i am surprised that some of the more conservative christians are not weighing in on source of some of the christian terminology and concepts.,Non-Sarcastic,Non-Sarcastic,Agree,141,24,True,Non-Sarcastic
37," but it is the best theory besides evolution. If evolution isn't true  somebody please come up with a new theory to compete with creation. Right here  please  I would like to know what is option #2 for Atheism."" Just out of interest, which version of creation are you talking about? ",Non-Sarcastic,Non-Sarcastic,Agree,283,50,True,Non-Sarcastic
38,I think that case was in Georgia (a different state) and so far as I know homosexuality was not involved. However if you want to worry about a legal case you need to look at Dover Pa. Not the sticker case in Cobb County.,Non-Sarcastic,Non-Sarcastic,Agree,220,44,True,Non-Sarcastic
40,"The Bible. God did not write the Bible, he inspired the people to write it. You are right, no logical contradiction exists.   What is option C? I thought there were only evo or creo to choose from.",Non-Sarcastic,Non-Sarcastic,Agree,197,37,True,Non-Sarcastic
41,"I believe Alan Keyes already have used that term on us.   (Alan Keyes, the ultra-concervative Republican Candidate for the Illinois Senate seat - in opposition to Barack Obama. The Maryland resident the Republican party had to recruit because they couldn't find anyone else in their right mind who would go against Barack. Also the very same Maryland resident/Television talkshow host who beratted Hilary Clinton for moving to NY and expecting to be able to ""represent"" NY'ers. Yeah, look who's the hypocrit now.)",Sarcastic,Sarcastic,Agree,513,82,True,Sarcastic
42,"do we want to have control over ourselves? some religios fanatics dont, and thats what im saying. i dont know much on this matter, im only 14. but, ive been to a conservative catholic school, and ive seen what it's like. its a narrow minded hellhole.",Non-Sarcastic,Non-Sarcastic,Agree,250,46,True,Non-Sarcastic
43,Welcome to CuckooLand. Old Sarge will serve as your welcoming committee.,Sarcastic,Sarcastic,Agree,72,11,True,Sarcastic
44,"Yet Bush's military record is downright questionable, as well as his Saudi Links, not to mention his business failures.",Non-Sarcastic,Non-Sarcastic,Agree,119,19,True,Non-Sarcastic
46,not according the SCJ of Mass. This was part of the grounds of their ruling FOR marriage in Mass.,Non-Sarcastic,Non-Sarcastic,Agree,97,19,True,Non-Sarcastic
47,None... unless she uses abortion as a form of birth control and has them regularly.,Non-Sarcastic,Non-Sarcastic,Agree,83,15,True,Non-Sarcastic
48,"In the split second something happens, we must protect ourselves.",Non-Sarcastic,Non-Sarcastic,Agree,65,10,True,Non-Sarcastic
49,"A lot of work has been done on that topic. I would recommend reading Debating Design from Darwin to DNA It is a monster of a book, but it is definitely worth the read.",Non-Sarcastic,Non-Sarcastic,Agree,167,34,True,Non-Sarcastic
50,"Actually ""I don't know"" is quite a valid answer in science.However, again you slip into this false construct of a belief that all that can be known is in the scope of science; which you've also denied saying you believe in the past.[quote=Montalban]Is this a rational statement? If so, prove it rationally, by science. ",Non-Sarcastic,Non-Sarcastic,Agree,319,54,True,Non-Sarcastic
51,"Not all christians are nuts. But this fellow. I suppose he will next say that the cause of the global warming is really hell encroaching on physical reality.
Huck",Sarcastic,Sarcastic,Agree,163,29,True,Sarcastic
52,"Again, we never said that a human fetus was a different species.",Non-Sarcastic,Non-Sarcastic,Agree,64,12,True,Non-Sarcastic
